work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,senior,Full-time,,130300.0,USD,130300,United States,In-person,United States,M,Data Science and Research
2024,senior,,bi developer,600000.0,GBP,75000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,senior,Full-time,bi developer,,GBP,50000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,senior,Full-time,data analyst,115000.0,USD,115000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data analyst,105000.0,USD,105000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data scientist,80000.0,GBP,100000,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,senior,Full-time,data scientist,70000.0,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,senior,Full-time,business intelligence engineer,156476.0,USD,156476,United States,Remote,United States,M,BI and Visualization
2024,senior,Full-time,business intelligence engineer,104981.0,USD,104981,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,data engineer,146000.0,USD,146000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,,USD,110000,United States,Remote,United States,M,Data Engineering
2024,senior,Full-time,data scientist,297000.0,USD,297000,United States,In-person,United States,M,Data Science and Research
2024,senior,,data scientist,138000.0,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data quality engineer,190000.0,USD,190000,United States,In-person,United States,M,Data Quality and Operations
2024,senior,,data quality engineer,,USD,25000,United States,In-person,United States,M,Data Quality and Operations
2024,Mid-level,Full-time,,160480.0,USD,160480,,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,machine learning engineer,109920.0,USD,109920,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,data engineer,224000.0,USD,224000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,150000.0,USD,150000,United States,In-person,United States,M,Data Engineering
2024,entry,Full-time,data analyst,84000.0,USD,84000,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,75800.0,USD,75800,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,cloud database engineer,146125.0,USD,146125,United States,Remote,United States,M,Cloud and Database
2024,Mid-level,Full-time,cloud database engineer,,USD,82000,,Remote,United States,M,Cloud and Database
2024,Mid-level,,business intelligence,,USD,207600,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,business intelligence,138400.0,USD,138400,United States,In-person,United States,M,BI and Visualization
2024,entry,Full-time,data analyst,94600.0,USD,94600,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,75700.0,USD,75700,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data science,331292.0,USD,331292,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data science,2448680.0,USD,244868,,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,190000.0,USD,190000,United States,Remote,United States,M,Data Science and Research
2024,senior,Full-time,,155000.0,USD,155000,,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,data engineer,168000.0,USD,168000,,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,158000.0,USD,158000,United States,In-person,United States,M,Data Engineering
2024,exec,Full-time,head of data,243000.0,USD,243000,United States,In-person,United States,M,Leadership and Management
2024,exec,Full-time,head of data,163000.0,USD,163000,United States,In-person,United States,M,Leadership and Management
2024,senior,Full-time,data scientist,190000.0,USD,190000,United States,Remote,United States,M,Data Science and Research
2024,senior,Full-time,,155000.0,USD,155000,United States,Remote,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,,USD,170000,United States,Remote,United States,M,Data Science and Research
2024,senior,Full-time,machine learning engineer,112800.0,EUR,125333,Lithuania,In-person,Lithuania,M,Machine Learning and AI
2024,senior,Full-time,,73200.0,EUR,81333,Lithuania,In-person,Lithuania,M,Machine Learning and AI
2024,senior,Full-time,business intelligence,192500.0,USD,192500,United States,In-person,United States,M,BI and Visualization
2024,senior,Contract,business intelligence,,USD,134900,United States,In-person,United States,M,BI and Visualization
2024,senior,,data scientist,,USD,227000,United States,In-person,United States,M,Data Science and Research
2024,senior,,data scientist,192780.0,USD,192780,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,bi analyst,85000.0,USD,85000,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,bi analyst,70000.0,USD,70000,,Remote,United States,M,BI and Visualization
2024,senior,Full-time,analytics engineer,180000.0,USD,180000,United States,In-person,United States,M,Leadership and Management
2024,senior,Freelance,analytics engineer,112000.0,USD,112000,United States,In-person,United States,M,Leadership and Management
2024,senior,Full-time,data engineer,130000.0,USD,130000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,100000.0,USD,100000,,In-person,United States,M,Data Engineering
2024,senior,,data engineer,140000.0,USD,140000,United States,Remote,United States,M,Data Engineering
2024,senior,Full-time,data engineer,100000.0,USD,100000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,,data scientist,175000.0,USD,175000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,data scientist,135000.0,USD,135000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,data manager,110000.0,USD,110000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,,,70000.0,USD,70000,United States,In-person,United States,M,Leadership and Management
2024,senior,,computational biologist,236000.0,USD,236000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,,174000.0,USD,174000,United States,In-person,United States,M,Data Science and Research
2024,senior,Freelance,computational biologist,242000.0,CAD,186153,Canada,In-person,Canada,M,Data Science and Research
2024,senior,Full-time,computational biologist,215000.0,CAD,165384,Canada,In-person,Canada,M,Data Science and Research
2024,senior,Full-time,data architect,363000.0,USD,363000,United States,In-person,United States,M,Data Architecture and Modeling
2024,senior,Full-time,data architect,139800.0,USD,139800,United States,In-person,United States,M,Data Architecture and Modeling
2024,senior,Full-time,research scientist,,USD,345000,,In-person,United States,M,Data Science and Research
2024,senior,Full-time,research scientist,1800000.0,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,analytics engineer,170000.0,USD,170000,United States,Remote,United States,M,Leadership and Management
2024,senior,Full-time,analytics engineer,130000.0,USD,130000,United States,Remote,United States,M,Leadership and Management
2024,Mid-level,Full-time,data integration specialist,75000.0,GBP,93750,United Kingdom,Remote,United Kingdom,M,Data Management and Strategy
2024,Mid-level,,data integration specialist,55000.0,GBP,68750,United Kingdom,Remote,United Kingdom,M,Data Management and Strategy
2024,senior,Full-time,machine learning engineer,184800.0,USD,184800,Canada,Remote,Canada,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,123200.0,USD,123200,Canada,Remote,Canada,M,Machine Learning and AI
2024,senior,,data engineer,115000.0,USD,115000,United States,Remote,United States,M,Data Engineering
2024,senior,Full-time,data engineer,105000.0,USD,105000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,,data science manager,,USD,110000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,data science manager,70000.0,USD,70000,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,machine learning engineer,157900.0,USD,157900,Canada,Remote,Canada,M,Machine Learning and AI
2024,entry,Full-time,machine learning engineer,105300.0,USD,105300,Canada,Remote,Canada,M,Machine Learning and AI
2024,Mid-level,Full-time,data scientist,252000.0,USD,252000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,data scientist,168000.0,USD,168000,United States,In-person,United States,M,Data Science and Research
2024,exec,Full-time,ai engineer,225000.0,USD,225000,United States,In-person,United States,M,Machine Learning and AI
2024,exec,,ai engineer,150000.0,USD,150000,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,data engineer,150000.0,USD,150000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,,90000.0,USD,90000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,data analyst,150000.0,USD,150000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data analyst,117000.0,USD,117000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,research engineer,440000.0,USD,440000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,research engineer,295000.0,USD,295000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,data scientist,70000.0,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Mid-level,Full-time,data scientist,50000.0,GBP,62500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Mid-level,Full-time,data analyst,150000.0,USD,150000,United States,Remote,United States,M,Data Analysis
2024,Mid-level,Full-time,data analyst,120000.0,USD,120000,United States,Remote,United States,M,Data Analysis
2024,Mid-level,Full-time,data engineer,,USD,148000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,106500.0,USD,106500,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,applied scientist,209000.0,USD,209000,Poland,Remote,Poland,M,Data Science and Research
2024,senior,Full-time,applied scientist,155000.0,USD,155000,Poland,Remote,Poland,M,Data Science and Research
2024,senior,Full-time,ai engineer,210000.0,USD,210000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,ai engineer,,USD,180000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,,170000.0,USD,170000,,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,130000.0,USD,130000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,70000.0,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,senior,Full-time,data scientist,50000.0,GBP,62500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,senior,Full-time,data engineer,2200000.0,USD,220000,Canada,In-person,Canada,M,Data Engineering
2024,senior,Full-time,data engineer,180000.0,USD,180000,Canada,In-person,Canada,M,Data Engineering
2024,senior,Full-time,machine learning engineer,278700.0,USD,278700,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,159300.0,USD,159300,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,data analyst,145000.0,USD,145000,United States,In-person,United States,M,Data Analysis
2024,senior,,data analyst,110000.0,USD,110000,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,,51550.0,EUR,57277,France,Hybrid,France,M,Data Science and Research
2024,senior,Full-time,bi data analyst,60000.0,EUR,66666,,Hybrid,Germany,S,Data Analysis
2024,Mid-level,,analytics engineer,126000.0,USD,126000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,,analytics engineer,78000.0,USD,78000,United States,In-person,United States,M,Leadership and Management
2024,senior,Full-time,research scientist,2900000.0,USD,290000,United States,In-person,United States,M,Data Science and Research
2024,senior,Freelance,research scientist,240000.0,USD,240000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,machine learning engineer,210000.0,USD,210000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,178500.0,USD,178500,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,ai research scientist,150000.0,USD,150000,,Hybrid,Saudi Arabia,M,Data Science and Research
2024,exec,Full-time,machine learning engineer,290000.0,USD,290000,,In-person,United States,M,Machine Learning and AI
2024,exec,Full-time,,232000.0,USD,232000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Part-time,research scientist,2340000.0,USD,234000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,research scientist,146000.0,USD,146000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,,172400.0,USD,172400,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,109000.0,USD,109000,United States,In-person,United States,M,Data Engineering
2024,entry,Full-time,data analyst,88800.0,USD,88800,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,64600.0,USD,64600,,In-person,United States,M,Data Analysis
2024,Mid-level,,mlops engineer,156200.0,USD,156200,Canada,In-person,Canada,M,Machine Learning and AI
2024,Mid-level,Full-time,mlops engineer,106500.0,USD,106500,Canada,In-person,Canada,M,Machine Learning and AI
2024,senior,Full-time,data scientist,,USD,185900,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,109400.0,USD,109400,,In-person,United States,M,Data Science and Research
2024,entry,Full-time,research analyst,106000.0,USD,106000,United States,In-person,United States,M,Data Science and Research
2024,entry,,,66000.0,USD,66000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,machine learning engineer,234300.0,USD,234300,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,,96900.0,USD,96900,United States,In-person,United States,M,Machine Learning and AI
2024,entry,Full-time,data analyst,157600.0,USD,157600,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,96800.0,USD,96800,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,,339250.0,USD,339250,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,research engineer,180000.0,USD,180000,,In-person,United States,M,Data Science and Research
2024,entry,,admin & data analyst,40000.0,USD,40000,India,Remote,United States,M,Data Analysis
2024,entry,Full-time,data analyst,70000.0,USD,70000,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,500000.0,USD,50000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,,94600.0,USD,94600,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,research analyst,,USD,77400,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,data analyst,192500.0,USD,192500,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,140000.0,USD,140000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data scientist,154500.0,USD,154500,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,,75705.0,USD,75705,United States,In-person,United States,M,Data Science and Research
2024,entry,,business intelligence analyst,95000.0,USD,95000,United States,In-person,United States,M,BI and Visualization
2024,entry,Full-time,business intelligence analyst,85000.0,USD,85000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,,business intelligence manager,164700.0,USD,164700,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,business intelligence manager,117500.0,USD,117500,United States,In-person,United States,M,BI and Visualization
2024,entry,,data analyst,80000.0,USD,80000,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,,USD,45700,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data analyst,,USD,117000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data analyst,,USD,115765,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data analyst,140000.0,USD,140000,Canada,In-person,Canada,M,Data Analysis
2024,senior,Full-time,data analyst,,USD,107000,Canada,In-person,Canada,M,Data Analysis
2024,senior,Full-time,machine learning engineer,178250.0,USD,178250,United States,Remote,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,105500.0,USD,105500,United States,Remote,United States,M,Machine Learning and AI
2024,senior,Full-time,data developer,50000.0,GBP,62500,United Kingdom,In-person,United Kingdom,M,Leadership and Management
2024,senior,Full-time,data developer,50000.0,GBP,62500,United Kingdom,In-person,United Kingdom,M,Leadership and Management
2024,senior,Full-time,prompt engineer,197011.0,USD,197011,United States,Remote,United States,M,Machine Learning and AI
2024,senior,Full-time,,115889.0,USD,115889,United States,Remote,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,research scientist,138000.0,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,research scientist,86000.0,USD,86000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data engineer,,USD,259700,United States,Remote,United States,M,Data Engineering
2024,senior,,data engineer,185500.0,USD,185500,United States,Remote,United States,M,Data Engineering
2024,entry,Contract,,80000.0,USD,80000,United States,Remote,United States,M,Data Analysis
2024,entry,,data analyst,80000.0,USD,80000,United States,Remote,United States,M,Data Analysis
2024,exec,Full-time,data analyst,,USD,175000,United States,In-person,United States,M,Data Analysis
2024,exec,Full-time,data analyst,68000.0,USD,68000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data science,243500.0,USD,243500,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,data science,,USD,201400,United States,In-person,United States,M,Data Science and Research
2024,entry,Contract,data analyst,26800.0,GBP,33500,United Kingdom,In-person,United Kingdom,M,Data Analysis
2024,entry,Full-time,,26800.0,GBP,33500,United Kingdom,In-person,United Kingdom,M,Data Analysis
2024,Mid-level,Full-time,data analyst,110000.0,USD,110000,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data analyst,90000.0,USD,90000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,research scientist,123765.0,USD,123765,United States,Remote,United States,M,Data Science and Research
2024,senior,Full-time,research scientist,85469.0,USD,85469,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,data analyst,85000.0,USD,85000,United States,Remote,United States,M,Data Analysis
2024,Mid-level,,data analyst,618000.0,USD,61800,,Remote,United States,M,Data Analysis
2024,Mid-level,Contract,data engineer,242100.0,USD,242100,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,116200.0,USD,116200,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data manager,128000.0,USD,128000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,,815000.0,USD,81500,United States,In-person,United States,M,Leadership and Management
2024,senior,Full-time,machine learning engineer,250000.0,USD,250000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,212500.0,USD,212500,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,data scientist,90000.0,EUR,100000,France,Remote,France,M,Data Science and Research
2024,senior,Full-time,data scientist,,EUR,55555,France,Remote,France,M,Data Science and Research
2024,Mid-level,Full-time,data specialist,69000.0,USD,69000,United States,In-person,United States,M,Data Management and Strategy
2024,Mid-level,Full-time,data specialist,44000.0,USD,44000,United States,In-person,United States,M,Data Management and Strategy
2024,Mid-level,,data analyst,77280.0,USD,77280,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data analyst,,USD,58000,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,business intelligence,166000.0,USD,166000,United States,Remote,United States,M,BI and Visualization
2024,entry,,business intelligence,119000.0,USD,119000,United States,Remote,United States,M,BI and Visualization
2024,senior,Full-time,machine learning engineer,192000.0,USD,192000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,164000.0,USD,164000,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,,218213.0,USD,218213,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,research scientist,151800.0,USD,151800,United States,In-person,United States,M,Data Science and Research
2024,senior,,data architect,149750.0,USD,149750,United States,Remote,United States,M,Data Architecture and Modeling
2024,senior,Full-time,data architect,84500.0,USD,84500,United States,Remote,United States,M,Data Architecture and Modeling
2024,senior,Full-time,data scientist,,USD,130000,,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,,USD,120000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,data integration engineer,100000.0,USD,100000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,,data integration engineer,70000.0,USD,70000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,200000.0,USD,200000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,,data engineer,150000.0,USD,150000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data scientist,,USD,253430,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,200740.0,USD,200740,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,,234900.0,USD,234900,,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,97300.0,USD,97300,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,machine learning engineer,206000.0,USD,206000,United States,Remote,United States,M,Machine Learning and AI
2024,senior,Full-time,,1650000.0,USD,165000,United States,Remote,United States,M,Machine Learning and AI
2024,entry,Full-time,data analyst,70000.0,USD,70000,United States,Remote,United States,M,Data Analysis
2024,entry,Full-time,data analyst,60000.0,USD,60000,,Remote,United States,M,Data Analysis
2024,Mid-level,Full-time,data science manager,328000.0,USD,328000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,,data science manager,258000.0,USD,258000,,In-person,United States,M,Data Science and Research
2024,senior,Contract,data engineer,190000.0,USD,190000,,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,170000.0,USD,170000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,100000.0,EUR,111111,Poland,Remote,Poland,M,Data Engineering
2024,senior,Full-time,data engineer,60000.0,EUR,66666,Poland,Remote,Poland,M,Data Engineering
2024,senior,Full-time,data scientist,180000.0,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,162000.0,USD,162000,United States,In-person,United States,M,Data Science and Research
2024,exec,Full-time,business intelligence,230000.0,USD,230000,Canada,In-person,Canada,M,BI and Visualization
2024,exec,Full-time,business intelligence,155000.0,USD,155000,Canada,In-person,Canada,M,BI and Visualization
2024,entry,Full-time,data science analyst,70000.0,USD,70000,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,data science analyst,64000.0,USD,64000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data analyst,165000.0,USD,165000,United States,Remote,United States,M,Data Analysis
2024,senior,Full-time,,180000.0,USD,180000,United States,In-person,United States,M,Data Science and Research
2024,senior,Freelance,data scientist,,USD,162000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,,91000.0,USD,91000,United States,Hybrid,United States,L,Data Analysis
2024,entry,Full-time,research analyst,219000.0,USD,219000,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,,,USD,123000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,,data scientist,212000.0,USD,212000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,,data scientist,93300.0,USD,93300,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,bi analyst,157600.0,USD,157600,United States,In-person,United States,M,BI and Visualization
2024,entry,,bi analyst,96800.0,USD,96800,United States,In-person,United States,M,BI and Visualization
2024,entry,Full-time,data analyst,137100.0,USD,137100,United States,In-person,United States,M,Data Analysis
2024,entry,Full-time,data analyst,109700.0,USD,109700,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,data manager,83300.0,USD,83300,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,data manager,47500.0,USD,47500,United States,In-person,United States,M,Leadership and Management
2024,senior,Full-time,data engineer,304750.0,USD,304750,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,160000.0,USD,160000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,,2421000.0,USD,242100,United States,In-person,United States,M,Data Architecture and Modeling
2024,senior,Full-time,data architect,116200.0,USD,116200,United States,In-person,United States,M,Data Architecture and Modeling
2024,Mid-level,Full-time,cloud database engineer,189000.0,USD,189000,United States,In-person,United States,M,Cloud and Database
2024,Mid-level,Full-time,,106000.0,USD,106000,United States,In-person,United States,M,Cloud and Database
2024,entry,Full-time,research engineer,101200.0,USD,101200,United States,In-person,United States,M,Data Science and Research
2024,entry,Full-time,research engineer,57700.0,USD,57700,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data engineer,160000.0,USD,160000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,77400.0,USD,77400,,In-person,United States,M,Data Engineering
2024,senior,Full-time,machine learning engineer,270000.0,USD,270000,United States,In-person,United States,M,Machine Learning and AI
2024,senior,Full-time,machine learning engineer,1530000.0,USD,153000,United States,In-person,United States,M,Machine Learning and AI
2024,entry,Full-time,data reporting analyst,90300.0,USD,90300,,In-person,United States,M,Data Analysis
2024,entry,Full-time,data reporting analyst,50200.0,USD,50200,,In-person,United States,M,Data Analysis
2024,entry,Full-time,data engineer,146000.0,USD,146000,United States,In-person,United States,M,Data Engineering
2024,entry,Full-time,,98000.0,USD,98000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,,data specialist,105000.0,USD,105000,Australia,In-person,Australia,M,Data Management and Strategy
2024,Mid-level,Full-time,data specialist,80000.0,USD,80000,Australia,In-person,Australia,M,Data Management and Strategy
2024,senior,Full-time,,300000.0,USD,300000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,200000.0,USD,200000,United States,In-person,United States,M,Data Engineering
2024,exec,,data analyst,125000.0,USD,125000,United States,In-person,United States,M,Data Analysis
2024,exec,,data analyst,100000.0,USD,100000,United States,In-person,United States,M,Data Analysis
2024,senior,Full-time,data engineer,165000.0,USD,165000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,100000.0,USD,100000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,115000.0,USD,115000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,data engineer,75000.0,USD,75000,,Remote,United States,M,Data Engineering
2024,senior,Full-time,research scientist,966430.0,USD,96643,Canada,In-person,Canada,M,Data Science and Research
2024,senior,Part-time,research scientist,515430.0,USD,51543,Canada,In-person,Canada,M,Data Science and Research
